type,ratio,time,area,pepole,,,ƒGƒŠƒA‚Ì“Á’¥,,
Mobile,2,360,0,0,,,"ap(people, area, time)",,
Mobile,2,360,1,0,,,,=,a * pepole(t)
Mobile,2,360,2,0,,,,,
Mobile,2,360,3,0,,,,,
Mobile,2,360,4,0,,,,,
Mobile,2,360,5,0,,,,,
Mobile,2,360,6,0.3,,,,,
Mobile,2,360,7,0.3,,,,,
Mobile,2,360,8,0,,,Mobile = Vehicle + Pedestrian,,
Mobile,2,360,9,0,,,Census = Vehicle * 0.8,,
Mobile,2,360,10,0.1,,,Pedestrian,,
Mobile,2,360,11,0,,,Vehicle,,
Mobile,2,360,12,2.8,,,,,
Mobile,2,360,13,4.3,,,,,
Mobile,2,360,14,0.1,,,,,
Mobile,2,360,15,0,,,,,
Mobile,2,360,16,0.1,,,,,
Mobile,2,360,17,8,,,,,
Mobile,2,360,18,4.9,,,,,
Mobile,2,360,19,0,,,a * Census = Pedestrian,,
Mobile,2,360,20,0,,,"area, time = pedestrian",,
Mobile,2,360,21,0,,,"a = f(area, time)",,
Mobile,2,360,22,2.3,,,,,
Mobile,2,360,23,1.1,,,,,
Mobile,2,360,24,0,,,,,
Mobile,2,720,0,0.1,,,,,
Mobile,2,720,1,0.1,,,,,
Mobile,2,720,2,0,,,,,
Mobile,2,720,3,0,,,,,
Mobile,2,720,4,0,,,,,
Mobile,2,720,5,0,,,,,
Mobile,2,720,6,1.4,,,,,
Mobile,2,720,7,0.3,,,,,
Mobile,2,720,8,0,,,,,
Mobile,2,720,9,0,,,,,
Mobile,2,720,10,0.3,,,,,
Mobile,2,720,11,0.9,,,,,
Mobile,2,720,12,8.2,,,,,
Mobile,2,720,13,9.3,,,,,
Mobile,2,720,14,0.5,,,,,
Mobile,2,720,15,0,,,,,
Mobile,2,720,16,0.8,,,,,
Mobile,2,720,17,27.8,,,,,
Mobile,2,720,18,16.7,,,,,
Mobile,2,720,19,0.2,,,,,
Mobile,2,720,20,0,,,,,
Mobile,2,720,21,0.2,,,,,
Mobile,2,720,22,4.6,,,,,
Mobile,2,720,23,2,,,,,
Mobile,2,720,24,0,,,,,
Mobile,2,1080,0,,,,,,
Mobile,2,1080,1,,,,,,
Mobile,2,1080,2,,,,,,
Mobile,2,1080,3,,,,,,
Mobile,2,1080,4,,,,,,
Mobile,2,1080,5,,,,,,
Mobile,2,1080,6,,,,,,
Mobile,2,1080,7,,,,,,
Mobile,2,1080,8,,,,,,
Mobile,2,1080,9,,,,,,
Mobile,2,1080,10,,,,,,
Mobile,2,1080,11,,,,,,
Mobile,2,1080,12,,,,,,
Mobile,2,1080,13,,,,,,
Mobile,2,1080,14,,,,,,
Mobile,2,1080,15,,,,,,
Mobile,2,1080,16,,,,,,
Mobile,2,1080,17,,,,,,
Mobile,2,1080,18,,,,,,
Mobile,2,1080,19,,,,,,
Mobile,2,1080,20,,,,,,
Mobile,2,1080,21,,,,,,
Mobile,2,1080,22,,,,,,
Mobile,2,1080,23,,,,,,
Mobile,3,1080,24,,,,,,
