"交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名","起点側／接続区分","起点側／接続路線等／交通調査基本区間番号","起点側／接続路線等／世代管理番号（十の位）","起点側／接続路線等／路線名等","起点側／備考","終点側／接続区分","終点側／接続路線等／交通調査基本区間番号","終点側／接続路線等／世代管理番号（十の位）","終点側／接続路線等／路線名等","終点側／備考","現道旧道区分","管理区分","市区町村コード","自動車専用道路の別","区間種別","分離区間／分離区分","分離区間／交通調査基本区間番号","区間延長（ｋｍ）","高規格道路の別","一般国道指定区間","一方通行フラグ","平成２２年度／交通調査基本区間番号","交通量調査単位区間番号／都道府県指定市コード","交通量調査単位区間番号／調査単位区間番号","観測地点交通調査基本区間番号","交通量観測地点地名／市郡区町村丁字目","平成２７年度調査交通量観測・非観測の別","個別調査観測値活用の別","１２・２４時間観測の別","交通量観測年月日","昼間１２時間自動車類交通量（上下合計）／小型車（台）","昼間１２時間自動車類交通量（上下合計）／大型車（台）","昼間１２時間自動車類交通量（上下合計）／合計（台）","２４時間自動車類交通量（上下合計）／小型車（台）","２４時間自動車類交通量（上下合計）／大型車（台）","２４時間自動車類交通量（上下合計）／合計（台）","昼夜率","昼間１２時間ピーク比率（％）","昼間１２時間大型車混入率（％）","混雑度","平成２２年度／交通量調査／都道府県指定市コード","平成２２年度／交通量調査／調査単位区間番号","平成２２年度／昼間１２時間自動車類交通量（台）","平成２２年度／２４時間自動車類交通量（台）","旅行速度調査単位区間番号／都道府県指定市コード","旅行速度調査単位区間番号／調査単位区間番号","混雑時／上り／旅行速度計測・非計測の別","混雑時／上り／旅行速度（ｋｍ／ｈ）","混雑時／下り／旅行速度計測・非計測の別","混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／上り／旅行速度計測・非計測の別","昼間非混雑時／上り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／下り／旅行速度計測・非計測の別","昼間非混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）","平成２２年度／旅行速度調査／都道府県指定市コード","平成２２年度／旅行速度調査／調査単位区間番号","平成２２年度／旅行速度／混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／混雑時／下り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／下り（ｋｍ／ｈ）","道路状況調査単位区間番号／都道府県指定市コード","道路状況調査単位区間番号／調査単位区間番号","区間延長／改良済み区間率（％）","区間延長／５．５ｍ以上改良済み区間率（％）","幅員構成／道路部幅員（ｍ）","幅員構成／車道部幅員（ｍ）","幅員構成／車道幅員（ｍ）","幅員構成／中央帯幅員（ｍ）","幅員構成／歩道幅員／上り（ｍ）","幅員構成／歩道幅員／下り（ｍ）","幅員構成／自転車道幅員／上り（ｍ）","幅員構成／自転車道幅員／下り（ｍ）","幅員構成／停車帯等幅員／上り（ｍ）","幅員構成／停車帯等幅員／下り（ｍ）","車線数","交通安全施設等／歩道設置率（％）","交通安全施設等／自転車歩行者道設置率（％）","交通安全施設等／自転車道設置率（％）","交通安全施設等／自転車レーン設置率（％）","交通安全施設等／両側歩道設置率（％）","交通安全施設等／両側自転車歩行者道設置率（％）","交通安全施設等／両側自転車道設置率（％）","交通安全施設等／両側自転車レーン設置率（％）","交通安全施設等／歩道代表幅員（ｍ）","交通安全施設等／自転車道代表幅員（ｍ）","バス路線／バス路線延長率（％）","バス路線／バス優先・専用レーンの有無","交差点密度／信号交差点（箇所／ｋｍ）","交差点密度／信号のない交差点（箇所／ｋｍ）","代表信号交差点／青時間比（％）","代表信号交差点／右折専用車線の有無等","鉄道との平面交差箇所の有無","指定最高速度（ｋｍ／ｈ）","付加車線及び登坂車線設置箇所の有無／上り","付加車線及び登坂車線設置箇所の有無／下り","代表沿道状況","中央分離帯／中央分離帯の種類","中央分離帯／中央分離帯の設置状況","軌道の有無","自転車通行可能区分","異常気象時等通行規制区分","リバーシブルレーン運用の有無","アクセスコントロール","平成２２年度／道路状況調査／都道府県指定市コード","平成２２年度／道路状況調査／調査単位区間番号","交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名"
"17110800010","0","0",1,1080,"北陸自動車道",3,"16110800290","0","北陸自動車道","",1,"17301590400","0","一般国道１５９号","金沢森本IC",1,4,17201,1,0,0,"","8.1",1,0,0,"17110800010",17000,10,"17110800010","～一般国道１５９号金沢森本IC",1,0,2,20151008,19410,5566,24976,23759,10833,34592,"1.39","9.8","22.3",".61",17000,10,23251,32013,17000,10,1,"87.1",1,"91.9",1,"86.8",1,"89.7","86.9","90.5",17000,10,79.2,76.7,79.6,80.1,17000,10,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,80,2,1,5,3,1,4,2,2,2,1,17000,10,"17110800010","0","0",1,1080,"北陸自動車道"
"17110800020","0","0",1,1080,"北陸自動車道",1,"17301590400","0","一般国道１５９号","金沢森本IC",1,"17300080120","0","一般国道８号","金沢東IC",1,4,17201,1,0,0,"","3.2",1,0,0,"17110800020",17000,20,"17110800020","一般国道１５９号金沢森本IC～一般国道８号金沢東IC",1,0,2,20151008,17571,5337,22908,21410,10553,31963,"1.40","10.4","23.3",".45",17000,20,21746,30030,17000,20,1,"93.5",1,"89.8",1,"93.5",1,"93.3","93.5","91.9",17000,20,80.7,77.8,80.7,84.2,17000,20,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,80,2,2,3,3,1,4,2,2,2,1,17000,20,"17110800020","0","0",1,1080,"北陸自動車道"
"17110800030","0","0",1,1080,"北陸自動車道",1,"17300080120","0","一般国道８号","金沢東IC",1,"17300080220","0","一般国道８号","金沢西IC",1,4,17201,1,0,0,"","7.6",1,0,0,"17110800030",17000,30,"17110800030","一般国道８号金沢東IC～一般国道８号金沢西IC",1,0,2,20151008,14297,5096,19393,17351,9868,27219,"1.40","11.7","26.3",".41",17000,30,18466,25673,17000,30,1,"84.2",1,"88.3",1,"87.5",1,"92.2","86.1","90.6",17000,30,84.4,80.6,84.5,88.1,17000,30,100.0,100.0,23.00,23.00,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,3,3,1,4,2,2,2,1,17000,30,"17110800030","0","0",1,1080,"北陸自動車道"
"17110800040","0","1",1,1080,"北陸自動車道",1,"17300080220","0","一般国道８号","金沢西IC",6,"","","金沢市・白山市境","",1,4,17201,1,0,0,"","2.7",1,0,0,"17110800040",17000,40,"17110800040","金沢西IC～白山IC",1,0,2,20151008,20277,5415,25692,24378,10304,34682,"1.35","10.7","21.1",".49",17000,40,24399,32719,17000,40,1,"90.3",1,"93.4",1,"93.6",1,"93.3","92.2","93.3",17000,40,81.2,82.8,86.4,86.5,17000,40,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,3,3,1,4,2,2,2,1,17000,40,"17110800040","0","1",1,1080,"北陸自動車道"
"17110800045","0","0",1,1080,"北陸自動車道",6,"","","金沢市・白山市境","",2,"17400080350","0","主要地方道松任宇ノ気線","",1,4,17210,1,0,0,"",".1",1,0,0,"17110800050",17000,40,"17110800040","金沢西IC～白山IC",1,0,2,20151008,20277,5415,25692,24378,10304,34682,"1.35","10.7","21.1",".49",17000,40,24399,32719,17000,40,1,"93.5",1,"95.7",1,"95.6",1,"95.8","94.7","95.8",17000,40,81.2,82.8,86.4,86.5,17000,50,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,3,3,1,4,2,2,2,1,17000,50,"17110800045","0","0",1,1080,"北陸自動車道"
"17110800050","1","0",1,1080,"北陸自動車道",2,"17400080350","0","主要地方道松任宇ノ気線","",1,"17400250160","0","主要地方道金沢美川小松線","徳光SIC",1,4,17210,1,0,0,"","5.2",1,0,0,"17110800050",17000,41,"17110800050","白山IC～徳光SIC",1,0,2,20151008,20864,5414,26278,25072,10363,35435,"1.35","10.7","20.6",".50",17000,40,24399,32719,17000,50,1,"93.6",1,"91.0",1,"96.2",1,"92.5","95.1","91.9",17000,40,81.2,82.8,86.4,86.5,17000,50,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,3,3,1,4,2,2,2,1,17000,50,"17110800050","1","0",1,1080,"北陸自動車道"
"17110800060","0","1",1,1080,"北陸自動車道",1,"17400250160","0","主要地方道金沢美川小松線","徳光SIC",1,"17400580090","0","主要地方道鶴来美川インター線","美川IC",1,4,17210,1,0,0,"","4.4",1,0,0,"17110800060",17000,42,"17110800060","徳光SIC～美川IC",1,0,2,20151008,20979,5442,26421,25153,10434,35587,"1.35","10.6","20.6",".51",17000,50,24679,32947,17000,60,1,"90.3",1,"94.1",1,"96.0",1,"95.5","93.7","95.0",17000,50,82.2,82.4,85.8,86.8,17000,50,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,3,3,1,4,2,2,2,1,17000,60,"17110800060","0","1",1,1080,"北陸自動車道"
"17110800070","0","0",1,1080,"北陸自動車道",1,"17400580090","0","主要地方道鶴来美川インター線","美川IC",6,"","","白山市・能美市境","",1,4,17210,1,0,0,"","4.6",1,0,0,"17110800070",17000,50,"17110800070","美川IC～小松IC",1,0,2,20151008,19557,5370,24927,23487,10680,34167,"1.37","9.8","21.5",".51",17000,60,23244,31254,17000,70,1,"93.9",1,"93.2",1,"98.0",1,"95.1","96.4","94.4",17000,60,80.8,82.1,86.0,88.1,17000,60,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,4,3,1,4,2,2,2,1,17000,70,"17110800070","0","0",1,1080,"北陸自動車道"
"17110800080","0","0",1,1080,"北陸自動車道",6,"","","白山市・能美市境","",6,"","","能美市・小松市境","",1,4,17211,1,0,0,"","5.8",1,0,0,"17110800080",17000,50,"17110800070","美川IC～小松IC",1,0,2,20151008,19557,5370,24927,23487,10680,34167,"1.37","9.8","21.5",".51",17000,60,23244,31254,17000,70,1,"93.1",1,"94.7",1,"98.2",1,"96.0","96.2","95.5",17000,60,80.8,82.1,86.0,88.1,17000,70,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,4,3,1,4,2,2,2,1,17000,80,"17110800080","0","0",1,1080,"北陸自動車道"
"17110800090","0","0",1,1080,"北陸自動車道",6,"","","能美市・小松市境","",1,"17400250270","0","主要地方道金沢美川小松線","小松IC",1,4,17203,1,0,0,"",".7",1,0,0,"17110800090",17000,50,"17110800070","美川IC～小松IC",1,0,2,20151008,19557,5370,24927,23487,10680,34167,"1.37","9.8","21.5",".51",17000,60,23244,31254,17000,70,1,"95.8",1,"93.6",1,"95.4",1,"95.2","95.6","94.6",17000,60,80.8,82.1,86.0,88.1,17000,80,100.0,100.0,24.50,24.50,"14.00","4.50",.00,.00,.00,.00,.00,.00,4,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,100.0,3,.0,.0,,,2,100,2,2,4,3,1,4,2,2,2,1,17000,90,"17110800090","0","0",1,1080,"北陸自動車道"
